0x0L,push    rbp
0x192eL,mov     eax, [rbp+var_20]
0x1931L,cdqe
0x1933L,movzx   eax, ds:yyr1[rax]
0x193aL,movzx   eax, al
0x193dL,mov     [rbp+var_20], eax
0x1940L,mov     eax, [rbp+var_20]
0x1943L,sub     eax, 1Ah
0x1946L,cdqe
0x1948L,movzx   eax, ds:yypgoto[rax]
0x194fL,movsx   edx, al
0x1952L,mov     rax, [rbp+var_40]
0x1956L,movzx   eax, word ptr [rax]
0x1959L,cwde
0x195aL,add     eax, edx
0x195cL,mov     [rbp+var_1C], eax
0x195fL,cmp     [rbp+var_1C], 0
0x1963L,js      short loc_199E
0x1965L,cmp     [rbp+var_1C], 5Bh ; '['
0x1969L,jg      short loc_199E
0x196bL,mov     eax, [rbp+var_1C]
0x196eL,cdqe
0x1970L,movzx   eax, ds:yycheck[rax]
0x1977L,movsx   dx, al
0x197bL,mov     rax, [rbp+var_40]
0x197fL,movzx   eax, word ptr [rax]
0x1982L,cmp     dx, ax
0x1985L,jnz     short loc_199E
0x1987L,mov     eax, [rbp+var_1C]
0x198aL,cdqe
0x198cL,movzx   eax, ds:yytable[rax]
0x1993L,movzx   eax, al
0x1996L,mov     [rbp+var_1C], eax
0x1999L,jmp     loc_93
0x199eL,mov     eax, [rbp+var_20]
0x19a1L,sub     eax, 1Ah
0x19a4L,cdqe
0x19a6L,movzx   eax, ds:yydefgoto[rax]
0x19adL,movsx   eax, al
0x19b0L,mov     [rbp+var_1C], eax
0x19b3L,jmp     loc_93
0x19b8L,nop
0x19b9L,cmp     [rbp+var_28], 0
0x19bdL,jnz     short loc_19D7
0x19bfL,add     [rbp+var_18], 1
0x19c3L,mov     rax, [rbp+var_598]
0x19caL,mov     esi, offset aSyntaxError; "syntax error"
0x19cfL,mov     rdi, rax
0x19d2L,call    yyerror
0x19d7L,cmp     [rbp+var_28], 3
0x19dbL,jnz     short loc_1A12
0x19ddL,cmp     [rbp+var_14], 0
0x19e1L,jg      short loc_19EE
0x19e3L,cmp     [rbp+var_14], 0
0x19e7L,jnz     short loc_1A12
0x19e9L,jmp     loc_1B27
0x19eeL,mov     rcx, [rbp+var_598]
0x19f5L,lea     rdx, [rbp+var_C0]
0x19fcL,mov     eax, [rbp+var_2C]
0x19ffL,mov     esi, eax
0x1a01L,mov     edi, offset aErrorDiscardin; "Error: discarding"
0x1a06L,call    yydestruct
0x1a0bL,mov     [rbp+var_14], 0FFFFFFFEh
0x1a12L,nop
0x1a13L,mov     [rbp+var_28], 3
0x1a1aL,mov     eax, [rbp+var_1C]
0x1a1dL,cdqe
0x1a1fL,movzx   eax, ds:yypact[rax]
0x1a26L,movsx   eax, al
0x1a29L,mov     [rbp+var_20], eax
0x1a2cL,cmp     [rbp+var_20], 0FFFFFFB1h
0x1a30L,jz      short loc_1A6A
0x1a32L,add     [rbp+var_20], 1
0x1a36L,cmp     [rbp+var_20], 0
0x1a3aL,js      short loc_1A6A
0x1a3cL,cmp     [rbp+var_20], 5Bh ; '['
0x1a40L,jg      short loc_1A6A
0x1a42L,mov     eax, [rbp+var_20]
0x1a45L,cdqe
0x1a47L,movzx   eax, ds:yycheck[rax]
0x1a4eL,cmp     al, 1
0x1a50L,jnz     short loc_1A6A
0x1a52L,mov     eax, [rbp+var_20]
0x1a55L,cdqe
0x1a57L,movzx   eax, ds:yytable[rax]
0x1a5eL,movzx   eax, al
0x1a61L,mov     [rbp+var_20], eax
0x1a64L,cmp     [rbp+var_20], 0
0x1a68L,jg      short loc_1AB8
0x1a6aL,mov     rax, [rbp+var_40]
0x1a6eL,cmp     rax, [rbp+src]
0x1a72L,jz      loc_1B26
0x1a78L,mov     eax, [rbp+var_1C]
0x1a7bL,cdqe
0x1a7dL,movzx   eax, ds:yystos[rax]
0x1a84L,movzx   eax, al
0x1a87L,mov     rcx, [rbp+var_598]
0x1a8eL,mov     rdx, [rbp+var_50]
0x1a92L,mov     esi, eax
0x1a94L,mov     edi, offset aErrorPopping; "Error: popping"
0x1a99L,call    yydestruct
0x1a9eL,sub     [rbp+var_50], 38h
0x1aa3L,sub     [rbp+var_40], 2
0x1aa8L,mov     rax, [rbp+var_40]
0x1aacL,movzx   eax, word ptr [rax]
0x1aafL,cwde
0x1ab0L,mov     [rbp+var_1C], eax
0x1ab3L,jmp     loc_1A1A
0x1ab8L,nop
0x1ab9L,add     [rbp+var_50], 38h
0x1abeL,mov     rax, [rbp+var_50]
0x1ac2L,mov     rdx, [rbp+var_C0]
0x1ac9L,mov     [rax], rdx
0x1accL,mov     rdx, [rbp+var_B8]
0x1ad3L,mov     [rax+8], rdx
0x1ad7L,mov     rdx, [rbp+var_B0]
0x1adeL,mov     [rax+10h], rdx
0x1ae2L,mov     rdx, [rbp+var_A8]
0x1ae9L,mov     [rax+18h], rdx
0x1aedL,mov     rdx, [rbp+var_A0]
0x1af4L,mov     [rax+20h], rdx
0x1af8L,mov     rdx, [rbp+var_98]
0x1affL,mov     [rax+28h], rdx
0x1b03L,mov     rdx, [rbp+var_90]
0x1b0aL,mov     [rax+30h], rdx
0x1b0eL,mov     eax, [rbp+var_20]
0x1b11L,mov     [rbp+var_1C], eax
0x1b14L,jmp     loc_93
0x1b19L,nop
0x1b1aL,mov     [rbp+var_24], 0
0x1b21L,jmp     short loc_1B4F
0x1b23L,nop
0x1b24L,jmp     short loc_1B27
0x1b26L,nop
0x1b27L,mov     [rbp+var_24], 1
0x1b2eL,jmp     short loc_1B4F
0x1b30L,nop
0x1b31L,jmp     short loc_1B34
0x1b33L,nop
0x1b34L,mov     rax, [rbp+var_598]
0x1b3bL,mov     esi, offset aMemoryExhauste; "memory exhausted"
0x1b40L,mov     rdi, rax
0x1b43L,call    yyerror
0x1b48L,mov     [rbp+var_24], 2
0x1b4fL,cmp     [rbp+var_14], 0FFFFFFFEh
0x1b53L,jz      short loc_1B72
0x1b55L,mov     rcx, [rbp+var_598]
0x1b5cL,lea     rdx, [rbp+var_C0]
0x1b63L,mov     eax, [rbp+var_2C]
0x1b66L,mov     esi, eax
0x1b68L,mov     edi, offset aCleanupDiscard; "Cleanup: discarding lookahead"
0x1b6dL,call    yydestruct
0x1b72L,mov     eax, [rbp+var_5C]
0x1b75L,cdqe
0x1b77L,shl     rax, 3
0x1b7bL,lea     rdx, ds:0[rax*8]
0x1b83L,sub     rdx, rax
0x1b86L,mov     rax, rdx
0x1b89L,neg     rax
0x1b8cL,add     [rbp+var_50], rax
0x1b90L,mov     eax, [rbp+var_5C]
0x1b93L,cdqe
0x1b95L,add     rax, rax
0x1b98L,neg     rax
0x1b9bL,add     [rbp+var_40], rax
0x1b9fL,jmp     short loc_1BD6
0x1ba1L,mov     rax, [rbp+var_40]
0x1ba5L,movzx   eax, word ptr [rax]
0x1ba8L,cwde
0x1ba9L,cdqe
0x1babL,movzx   eax, ds:yystos[rax]
0x1bb2L,movzx   eax, al
0x1bb5L,mov     rcx, [rbp+var_598]
0x1bbcL,mov     rdx, [rbp+var_50]
0x1bc0L,mov     esi, eax
0x1bc2L,mov     edi, offset aCleanupPopping; "Cleanup: popping"
0x1bc7L,call    yydestruct
0x1bccL,sub     [rbp+var_50], 38h
0x1bd1L,sub     [rbp+var_40], 2
0x1bd6L,mov     rax, [rbp+var_40]
0x1bdaL,cmp     rax, [rbp+src]
0x1bdeL,jnz     short loc_1BA1
0x1be0L,lea     rax, [rbp+var_F0]
0x1be7L,cmp     [rbp+src], rax
0x1bebL,jz      short loc_1BF9
0x1bedL,mov     rax, [rbp+src]
0x1bf1L,mov     rdi, rax        ; ptr
0x1bf4L,call    free
0x1bf9L,mov     eax, [rbp+var_24]
0x1bfcL,mov     rbx, [rbp+var_8]
0x1c00L,leave
0x1c01L,retn
0x1c02L,push    rbp
0x1c03L,mov     rbp, rsp
0x1c06L,mov     [rbp+var_8], rdi
0x1c0aL,cmp     [rbp+var_8], 0
0x1c0fL,jns     loc_1CA0
0x1c15L,mov     rcx, [rbp+arg_8]
0x1c19L,mov     rdx, 0A3D70A3D70A3D70Bh
0x1c23L,mov     rax, rcx
0x1c26L,imul    rdx
0x1c29L,lea     rax, [rdx+rcx]
0x1c2dL,sar     rax, 6
0x1c31L,mov     rdx, rax
0x1c34L,mov     rax, rcx
0x1c37L,sar     rax, 3Fh
0x1c3bL,sub     rdx, rax
0x1c3eL,mov     rax, rdx
0x1c41L,shl     rax, 2
0x1c45L,mov     rdx, rax
0x1c48L,shl     rdx, 4
0x1c4cL,mov     rsi, rdx
0x1c4fL,sub     rsi, rax
0x1c52L,mov     rcx, [rbp+arg_8]
0x1c56L,mov     rdx, 0A3D70A3D70A3D70Bh
0x1c60L,mov     rax, rcx
0x1c63L,imul    rdx
0x1c66L,lea     rax, [rdx+rcx]
0x1c6aL,sar     rax, 6
0x1c6eL,mov     rdx, rax
0x1c71L,mov     rax, rcx
0x1c74L,sar     rax, 3Fh
0x1c78L,sub     rdx, rax
0x1c7bL,mov     rax, rdx
0x1c7eL,shl     rax, 2
0x1c82L,add     rax, rdx
0x1c85L,lea     rdx, ds:0[rax*4]
0x1c8dL,add     rax, rdx
0x1c90L,shl     rax, 2
0x1c94L,sub     rcx, rax
0x1c97L,mov     rdx, rcx
0x1c9aL,lea     rax, [rsi+rdx]
0x1c9eL,jmp     short loc_1CCA
0x1ca0L,mov     rax, [rbp+arg_8]
0x1ca4L,shl     rax, 2
0x1ca8L,mov     rdx, rax
0x1cabL,shl     rdx, 4
0x1cafL,sub     rdx, rax
0x1cb2L,movzx   eax, [rbp+arg_0]
0x1cb6L,test    al, al
0x1cb8L,jz      short loc_1CC3
0x1cbaL,mov     rax, [rbp+var_8]
0x1cbeL,neg     rax
0x1cc1L,jmp     short loc_1CC7
0x1cc3L,mov     rax, [rbp+var_8]
0x1cc7L,add     rax, rdx
0x1ccaL,pop     rbp
0x1ccbL,retn
0x1cccL,push    rbp
0x1ccdL,mov     rbp, rsp
0x1cd0L,mov     [rbp+var_8], rdi
0x1cd4L,mov     [rbp+var_C], esi
0x1cd7L,mov     eax, [rbp+var_C]
0x1cdaL,test    eax, eax
0x1cdcL,jz      short loc_1CFE
0x1cdeL,cmp     eax, 1
0x1ce1L,jz      short loc_1D27
0x1ce3L,cmp     [rbp+var_8], 0
0x1ce8L,js      short loc_1CF7
0x1ceaL,cmp     [rbp+var_8], 17h
0x1cefL,jg      short loc_1CF7
0x1cf1L,mov     rax, [rbp+var_8]
0x1cf5L,jmp     short loc_1D51
0x1cf7L,mov     eax, 0FFFFFFFFh
0x1cfcL,jmp     short loc_1D51
0x1cfeL,cmp     [rbp+var_8], 0
0x1d03L,jle     short loc_1D0C
0x1d05L,cmp     [rbp+var_8], 0Bh
0x1d0aL,jle     short loc_1D21
0x1d0cL,cmp     [rbp+var_8], 0Ch
0x1d11L,jnz     short loc_1D1A
0x1d13L,mov     eax, 0
0x1d18L,jmp     short loc_1D51
0x1d1aL,mov     eax, 0FFFFFFFFh
0x1d1fL,jmp     short loc_1D51
0x1d21L,mov     rax, [rbp+var_8]
0x1d25L,jmp     short loc_1D51
0x1d27L,cmp     [rbp+var_8], 0
0x1d2cL,jle     short loc_1D3E
0x1d2eL,cmp     [rbp+var_8], 0Bh
0x1d33L,jg      short loc_1D3E
0x1d35L,mov     rax, [rbp+var_8]
0x1d39L,add     eax, 0Ch
0x1d3cL,jmp     short loc_1D51
0x1d3eL,cmp     [rbp+var_8], 0Ch
0x1d43L,jnz     short loc_1D4C
0x1d45L,mov     eax, 0Ch
0x1d4aL,jmp     short loc_1D51
0x1d4cL,mov     eax, 0FFFFFFFFh
0x1d51L,pop     rbp
0x1d52L,retn
0x1d53L,push    rbp
0x1d54L,mov     rbp, rsp
0x1d57L,mov     rax, [rbp+arg_8]
0x1d5bL,mov     [rbp+var_8], rax
0x1d5fL,cmp     [rbp+var_8], 0
0x1d64L,jns     short loc_1D6C
0x1d66L,neg     [rbp+var_8]
0x1d6aL,jmp     short loc_1D8D
0x1d6cL,mov     rax, [rbp+arg_10]
0x1d70L,cmp     rax, 2
0x1d74L,jnz     short loc_1D8D
0x1d76L,cmp     [rbp+var_8], 44h
0x1d7bL,jg      short loc_1D84
0x1d7dL,mov     eax, 7D0h
0x1d82L,jmp     short loc_1D89
0x1d84L,mov     eax, 76Ch
0x1d89L,add     [rbp+var_8], rax
0x1d8dL,mov     rax, [rbp+var_8]
0x1d91L,pop     rbp
0x1d92L,retn
0x1d93L,push    rbp
0x1d94L,mov     rbp, rsp
0x1d97L,sub     rsp, 20h
0x1d9bL,mov     [rbp+var_18], rdi
0x1d9fL,mov     [rbp+s1], rsi
0x1da3L,mov     [rbp+var_8], offset universal_time_zone_table
0x1dabL,jmp     short loc_1DD5
0x1dadL,mov     rax, [rbp+var_8]
0x1db1L,mov     rdx, [rax]
0x1db4L,mov     rax, [rbp+s1]
0x1db8L,mov     rsi, rdx        ; s2
0x1dbbL,mov     rdi, rax        ; s1
0x1dbeL,call    strcmp
0x1dc3L,test    eax, eax
0x1dc5L,jnz     short loc_1DD0
0x1dc7L,mov     rax, [rbp+var_8]
0x1dcbL,jmp     locret_1E62
0x1dd0L,add     [rbp+var_8], 10h
0x1dd5L,mov     rax, [rbp+var_8]
0x1dd9L,mov     rax, [rax]
0x1ddcL,test    rax, rax
0x1ddfL,jnz     short loc_1DAD
0x1de1L,mov     rax, [rbp+var_18]
0x1de5L,add     rax, 0E0h
0x1debL,mov     [rbp+var_8], rax
0x1defL,jmp     short loc_1E16
0x1df1L,mov     rax, [rbp+var_8]
0x1df5L,mov     rdx, [rax]
0x1df8L,mov     rax, [rbp+s1]
0x1dfcL,mov     rsi, rdx        ; s2
0x1dffL,mov     rdi, rax        ; s1
0x1e02L,call    strcmp
0x1e07L,test    eax, eax
0x1e09L,jnz     short loc_1E11
0x1e0bL,mov     rax, [rbp+var_8]
0x1e0fL,jmp     short locret_1E62
0x1e11L,add     [rbp+var_8], 10h
0x1e16L,mov     rax, [rbp+var_8]
0x1e1aL,mov     rax, [rax]
0x1e1dL,test    rax, rax
0x1e20L,jnz     short loc_1DF1
0x1e22L,mov     [rbp+var_8], offset time_zone_table
0x1e2aL,jmp     short loc_1E51
0x1e2cL,mov     rax, [rbp+var_8]
0x1e30L,mov     rdx, [rax]
0x1e33L,mov     rax, [rbp+s1]
0x1e37L,mov     rsi, rdx        ; s2
0x1e3aL,mov     rdi, rax        ; s1
0x1e3dL,call    strcmp
0x1e42L,test    eax, eax
0x1e44L,jnz     short loc_1E4C
0x1e46L,mov     rax, [rbp+var_8]
0x1e4aL,jmp     short locret_1E62
0x1e4cL,add     [rbp+var_8], 10h
0x1e51L,mov     rax, [rbp+var_8]
0x1e55L,mov     rax, [rax]
0x1e58L,test    rax, rax
0x1e5bL,jnz     short loc_1E2C
0x1e5dL,mov     eax, 0
0x1e62L,leave
0x1e63L,retn
0x1e64L,push    rbp
0x1e65L,mov     rbp, rsp
0x1e68L,sub     rsp, 40h
0x1e6cL,mov     [rbp+var_38], rdi
0x1e70L,mov     [rbp+s1], rsi
0x1e74L,mov     rax, [rbp+s1]
0x1e78L,mov     [rbp+var_8], rax
0x1e7cL,jmp     short loc_1EA0
0x1e7eL,mov     rax, [rbp+var_8]
0x1e82L,movzx   eax, byte ptr [rax]
0x1e85L,mov     [rbp+var_1A], al
0x1e88L,movzx   eax, [rbp+var_1A]
0x1e8cL,mov     edi, eax        ; c
0x1e8eL,call    toupper
0x1e93L,mov     edx, eax
0x1e95L,mov     rax, [rbp+var_8]
0x1e99L,mov     [rax], dl
0x1e9bL,add     [rbp+var_8], 1
0x1ea0L,mov     rax, [rbp+var_8]
0x1ea4L,movzx   eax, byte ptr [rax]
0x1ea7L,test    al, al
0x1ea9L,jnz     short loc_1E7E
0x1eabL,mov     [rbp+var_18], offset meridian_table
0x1eb3L,jmp     short loc_1EDD
0x1eb5L,mov     rax, [rbp+var_18]
0x1eb9L,mov     rdx, [rax]
0x1ebcL,mov     rax, [rbp+s1]
0x1ec0L,mov     rsi, rdx        ; s2
0x1ec3L,mov     rdi, rax        ; s1
0x1ec6L,call    strcmp
0x1ecbL,test    eax, eax
0x1ecdL,jnz     short loc_1ED8
0x1ecfL,mov     rax, [rbp+var_18]
0x1ed3L,jmp     locret_2189
0x1ed8L,add     [rbp+var_18], 10h
0x1eddL,mov     rax, [rbp+var_18]
0x1ee1L,mov     rax, [rax]
0x1ee4L,test    rax, rax
0x1ee7L,jnz     short loc_1EB5
0x1ee9L,mov     rax, [rbp+s1]
0x1eedL,mov     rdi, rax        ; s
0x1ef0L,call    strlen
0x1ef5L,mov     [rbp+var_28], rax
0x1ef9L,cmp     [rbp+var_28], 3
0x1efeL,jz      short loc_1F16
0x1f00L,cmp     [rbp+var_28], 4
0x1f05L,jnz     short loc_1F1D
0x1f07L,mov     rax, [rbp+s1]
0x1f0bL,add     rax, 3
0x1f0fL,movzx   eax, byte ptr [rax]
0x1f12L,cmp     al, 2Eh ; '.'
0x1f14L,jnz     short loc_1F1D
0x1f16L,mov     eax, 1
0x1f1bL,jmp     short loc_1F22
0x1f1dL,mov     eax, 0
0x1f22L,mov     [rbp+var_29], al
0x1f25L,and     [rbp+var_29], 1
0x1f29L,mov     [rbp+var_18], offset month_and_day_table
0x1f31L,jmp     short loc_1F88
0x1f33L,cmp     [rbp+var_29], 0
0x1f37L,jz      short loc_1F5B
0x1f39L,mov     rax, [rbp+var_18]
0x1f3dL,mov     rcx, [rax]
0x1f40L,mov     rax, [rbp+s1]
0x1f44L,mov     edx, 3          ; n
0x1f49L,mov     rsi, rcx        ; s2
0x1f4cL,mov     rdi, rax        ; s1
0x1f4fL,call    strncmp
0x1f54L,test    eax, eax
0x1f56L,setz    al
0x1f59L,jmp     short loc_1F76
0x1f5bL,mov     rax, [rbp+var_18]
0x1f5fL,mov     rdx, [rax]
0x1f62L,mov     rax, [rbp+s1]
0x1f66L,mov     rsi, rdx        ; s2
0x1f69L,mov     rdi, rax        ; s1
0x1f6cL,call    strcmp
0x1f71L,test    eax, eax
0x1f73L,setz    al
0x1f76L,test    al, al
0x1f78L,jz      short loc_1F83
0x1f7aL,mov     rax, [rbp+var_18]
0x1f7eL,jmp     locret_2189
0x1f83L,add     [rbp+var_18], 10h
0x1f88L,mov     rax, [rbp+var_18]
0x1f8cL,mov     rax, [rax]
0x1f8fL,test    rax, rax
0x1f92L,jnz     short loc_1F33
0x1f94L,mov     rdx, [rbp+s1]
0x1f98L,mov     rax, [rbp+var_38]
0x1f9cL,mov     rsi, rdx
0x1f9fL,mov     rdi, rax
0x1fa2L,call    lookup_zone
0x1fa7L,mov     [rbp+var_18], rax
0x1fabL,cmp     [rbp+var_18], 0
0x1fb0L,jz      short loc_1FBB
0x1fb2L,mov     rax, [rbp+var_18]
0x1fb6L,jmp     locret_2189
0x1fbbL,mov     edx, offset s2  ; "DST"
0x1fc0L,mov     rax, [rbp+s1]
0x1fc4L,mov     rsi, rdx        ; s2
0x1fc7L,mov     rdi, rax        ; s1
0x1fcaL,call    strcmp
0x1fcfL,test    eax, eax
0x1fd1L,jnz     short loc_1FDD
0x1fd3L,mov     eax, offset dst_table
0x1fd8L,jmp     locret_2189
0x1fddL,mov     [rbp+var_18], offset time_units_table
0x1fe5L,jmp     short loc_200F
0x1fe7L,mov     rax, [rbp+var_18]
0x1febL,mov     rdx, [rax]
0x1feeL,mov     rax, [rbp+s1]
0x1ff2L,mov     rsi, rdx        ; s2
0x1ff5L,mov     rdi, rax        ; s1
0x1ff8L,call    strcmp
0x1ffdL,test    eax, eax
0x1fffL,jnz     short loc_200A
0x2001L,mov     rax, [rbp+var_18]
0x2005L,jmp     locret_2189
0x200aL,add     [rbp+var_18], 10h
0x200fL,mov     rax, [rbp+var_18]
0x2013L,mov     rax, [rax]
0x2016L,test    rax, rax
0x2019L,jnz     short loc_1FE7
0x201bL,mov     rax, [rbp+var_28]
0x201fL,lea     rdx, [rax-1]
0x2023L,mov     rax, [rbp+s1]
0x2027L,add     rax, rdx
0x202aL,movzx   eax, byte ptr [rax]
0x202dL,cmp     al, 53h ; 'S'
0x202fL,jnz     short loc_2093
0x2031L,mov     rax, [rbp+var_28]
0x2035L,lea     rdx, [rax-1]
0x2039L,mov     rax, [rbp+s1]
0x203dL,add     rax, rdx
0x2040L,mov     byte ptr [rax], 0
0x2043L,mov     [rbp+var_18], offset time_units_table
0x204bL,jmp     short loc_2075
0x204dL,mov     rax, [rbp+var_18]
0x2051L,mov     rdx, [rax]
0x2054L,mov     rax, [rbp+s1]
0x2058L,mov     rsi, rdx        ; s2
0x205bL,mov     rdi, rax        ; s1
0x205eL,call    strcmp
0x2063L,test    eax, eax
0x2065L,jnz     short loc_2070
0x2067L,mov     rax, [rbp+var_18]
0x206bL,jmp     locret_2189
0x2070L,add     [rbp+var_18], 10h
0x2075L,mov     rax, [rbp+var_18]
0x2079L,mov     rax, [rax]
0x207cL,test    rax, rax
0x207fL,jnz     short loc_204D
0x2081L,mov     rax, [rbp+var_28]
0x2085L,lea     rdx, [rax-1]
0x2089L,mov     rax, [rbp+s1]
0x208dL,add     rax, rdx
0x2090L,mov     byte ptr [rax], 53h ; 'S'
0x2093L,mov     [rbp+var_18], offset relative_time_table
0x209bL,jmp     short loc_20C5
0x209dL,mov     rax, [rbp+var_18]
0x20a1L,mov     rdx, [rax]
0x20a4L,mov     rax, [rbp+s1]
0x20a8L,mov     rsi, rdx        ; s2
0x20abL,mov     rdi, rax        ; s1
0x20aeL,call    strcmp
0x20b3L,test    eax, eax
0x20b5L,jnz     short loc_20C0
0x20b7L,mov     rax, [rbp+var_18]
0x20bbL,jmp     locret_2189
0x20c0L,add     [rbp+var_18], 10h
0x20c5L,mov     rax, [rbp+var_18]
0x20c9L,mov     rax, [rax]
0x20ccL,test    rax, rax
0x20cfL,jnz     short loc_209D
0x20d1L,cmp     [rbp+var_28], 1
0x20d6L,jnz     short loc_2111
0x20d8L,mov     [rbp+var_18], offset military_table
0x20e0L,jmp     short loc_2105
0x20e2L,mov     rax, [rbp+s1]
0x20e6L,movzx   edx, byte ptr [rax]
0x20e9L,mov     rax, [rbp+var_18]
0x20edL,mov     rax, [rax]
0x20f0L,movzx   eax, byte ptr [rax]
0x20f3L,cmp     dl, al
0x20f5L,jnz     short loc_2100
0x20f7L,mov     rax, [rbp+var_18]
0x20fbL,jmp     locret_2189
0x2100L,add     [rbp+var_18], 10h
0x2105L,mov     rax, [rbp+var_18]
0x2109L,mov     rax, [rax]
0x210cL,test    rax, rax
0x210fL,jnz     short loc_20E2
0x2111L,mov     [rbp+var_19], 0
0x2115L,mov     rax, [rbp+s1]
0x2119L,mov     [rbp+var_10], rax
0x211dL,mov     rax, [rbp+var_10]
0x2121L,mov     [rbp+var_8], rax
0x2125L,jmp     short loc_2142
0x2127L,mov     rax, [rbp+var_10]
0x212bL,movzx   eax, byte ptr [rax]
0x212eL,cmp     al, 2Eh ; '.'
0x2130L,jnz     short loc_2138
0x2132L,mov     [rbp+var_19], 1
0x2136L,jmp     short loc_213D
0x2138L,add     [rbp+var_8], 1
0x213dL,add     [rbp+var_10], 1
0x2142L,mov     rax, [rbp+var_10]
0x2146L,movzx   edx, byte ptr [rax]
0x2149L,mov     rax, [rbp+var_8]
0x214dL,mov     [rax], dl
0x214fL,mov     rax, [rbp+var_8]
0x2153L,movzx   eax, byte ptr [rax]
0x2156L,test    al, al
0x2158L,jnz     short loc_2127
0x215aL,cmp     [rbp+var_19], 0
0x215eL,jz      short loc_2184
0x2160L,mov     rdx, [rbp+s1]
0x2164L,mov     rax, [rbp+var_38]
0x2168L,mov     rsi, rdx
0x216bL,mov     rdi, rax
0x216eL,call    lookup_zone
0x2173L,mov     [rbp+var_18], rax
0x2177L,cmp     [rbp+var_18], 0
0x217cL,jz      short loc_2184
0x217eL,mov     rax, [rbp+var_18]
0x2182L,jmp     short locret_2189
0x2184L,mov     eax, 0
0x2189L,leave
0x218aL,retn
0x218bL,push    rbp
0x218cL,mov     rbp, rsp
0x218fL,add     rsp, 0FFFFFFFFFFFFFF80h
0x2193L,mov     [rbp+var_78], rdi
0x2197L,mov     [rbp+var_80], rsi
0x219bL,jmp     short loc_21AF
0x219dL,mov     rax, [rbp+var_80]
0x21a1L,mov     rax, [rax]
0x21a4L,lea     rdx, [rax+1]
0x21a8L,mov     rax, [rbp+var_80]
0x21acL,mov     [rax], rdx
0x21afL,mov     rax, [rbp+var_80]
0x21b3L,mov     rax, [rax]
0x21b6L,movzx   eax, byte ptr [rax]
0x21b9L,mov     [rbp+var_1], al
0x21bcL,call    __ctype_b_loc
0x21c1L,mov     rax, [rax]
0x21c4L,movzx   edx, [rbp+var_1]
0x21c8L,add     rdx, rdx
0x21cbL,add     rax, rdx
0x21ceL,movzx   eax, word ptr [rax]
0x21d1L,movzx   eax, ax
0x21d4L,and     eax, 2000h
0x21d9L,test    eax, eax
0x21dbL,jnz     short loc_219D
0x21ddL,movzx   eax, [rbp+var_1]
0x21e1L,sub     eax, 30h ; '0'
0x21e4L,cmp     eax, 9
0x21e7L,jbe     short loc_21F9
0x21e9L,cmp     [rbp+var_1], 2Dh ; '-'
0x21edL,jz      short loc_21F9
0x21efL,cmp     [rbp+var_1], 2Bh ; '+'
0x21f3L,jnz     loc_2552
0x21f9L,cmp     [rbp+var_1], 2Dh ; '-'
0x21fdL,jz      short loc_2205
0x21ffL,cmp     [rbp+var_1], 2Bh ; '+'
0x2203L,jnz     short loc_226E
0x2205L,cmp     [rbp+var_1], 2Dh ; '-'
0x2209L,jnz     short loc_2212
0x220bL,mov     eax, 0FFFFFFFFh
0x2210L,jmp     short loc_2217
0x2212L,mov     eax, 1
0x2217L,mov     [rbp+var_1C], eax
0x221aL,jmp     short loc_221D
0x221cL,nop
0x221dL,mov     rax, [rbp+var_80]
0x2221L,mov     rax, [rax]
0x2224L,lea     rdx, [rax+1]
0x2228L,mov     rax, [rbp+var_80]
0x222cL,mov     [rax], rdx
0x222fL,mov     rax, [rbp+var_80]
0x2233L,mov     rax, [rax]
0x2236L,movzx   eax, byte ptr [rax]
0x2239L,mov     [rbp+var_1], al
0x223cL,call    __ctype_b_loc
0x2241L,mov     rax, [rax]
0x2244L,movzx   edx, [rbp+var_1]
0x2248L,add     rdx, rdx
0x224bL,add     rax, rdx
0x224eL,movzx   eax, word ptr [rax]
0x2251L,movzx   eax, ax
0x2254L,and     eax, 2000h
0x2259L,test    eax, eax
0x225bL,jnz     short loc_221C
0x225dL,movzx   eax, [rbp+var_1]
0x2261L,sub     eax, 30h ; '0'
0x2264L,cmp     eax, 9
0x2267L,jbe     short loc_2275
0x2269L,jmp     loc_2699
0x226eL,mov     [rbp+var_1C], 0
0x2275L,mov     rax, [rbp+var_80]
0x2279L,mov     rax, [rax]
0x227cL,mov     [rbp+var_18], rax
0x2280L,mov     [rbp+var_28], 0
0x2288L,movzx   eax, [rbp+var_1]
0x228cL,sub     eax, 30h ; '0'
0x228fL,movsxd  rdx, eax
0x2292L,mov     rax, [rbp+var_28]
0x2296L,add     rax, rdx
0x2299L,mov     [rbp+var_58], rax
0x229dL,mov     rax, [rbp+var_58]
0x22a1L,cmp     rax, [rbp+var_28]
0x22a5L,jnb     short loc_22B1
0x22a7L,mov     eax, 3Fh ; '?'
0x22acL,jmp     locret_269E
0x22b1L,mov     rax, [rbp+var_58]
0x22b5L,mov     [rbp+var_28], rax
0x22b9L,add     [rbp+var_18], 1
0x22beL,mov     rax, [rbp+var_18]
0x22c2L,movzx   eax, byte ptr [rax]
0x22c5L,mov     [rbp+var_1], al
0x22c8L,movzx   eax, [rbp+var_1]
0x22ccL,sub     eax, 30h ; '0'
0x22cfL,cmp     eax, 9
0x22d2L,ja      short loc_2305
0x22d4L,mov     rax, 1999999999999999h
